NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,Is_Feature_Envy
45,0,69,57,965,149,0,0,0.101449275,3,6,TRUE
12,0,10,8,206,34,0,0,0.3,1,1,TRUE
14,0,8,7,86,19,0,1,0,1,2,TRUE
13,0,8,7,81,17,0,1,0,1,2,TRUE
10,0,9,8,117,20,0,1,0,1,2,TRUE
7,0,8,8,54,10,0,1,0.375,2,1,TRUE
7,0,8,8,54,10,0,1,0.375,0,1,TRUE
16,0,101,94,765,116,0,0,0.148514851,11,11,TRUE
1,0,3,2,33,4,0,0,0.666666667,0,5,TRUE
7,0,21,12,190,28,2,0,0,0,5,TRUE
3,0,11,9,142,30,0,0,0.272727273,8,11,TRUE
9,0,23,14,276,46,0,1,0.130434783,2,5,TRUE
2,0,16,13,132,24,2,1,0.3125,3,4,TRUE
9,0,36,21,422,83,1,2,0.194444444,2,17,TRUE
6,0,18,15,476,121,0,0,0.166666667,1,6,TRUE
1,0,8,7,149,30,0,0,0.5,1,2,TRUE
2,0,39,34,648,152,0,0,0.641025641,1,6,TRUE
1,0,56,29,455,95,0,1,0.357142857,1,3,TRUE
1,0,3,1,71,13,0,0,0,1,1,TRUE
4,0,151,90,1596,327,0,1,0.278145695,2,7,TRUE
2,0,181,159,2604,644,0,0,0.712707182,4,10,TRUE
2,0,23,13,256,49,0,1,0.086956522,1,4,TRUE
42,0,66,43,518,94,0,0,0.181818182,27,54,TRUE
2,0,33,21,540,122,0,0,0.393939394,1,2,TRUE
2,0,55,35,481,103,0,1,0.236363636,1,1,TRUE
1,0,8,6,184,32,0,0,0.5,1,2,TRUE
1,0,5,4,30,5,0,1,0,1,4,TRUE
1,0,5,4,29,5,0,1,0,1,4,TRUE
85,81,204,122,8852,3183,0,1,0.416666667,1,2,TRUE
18,0,67,46,643,148,0,1,0.149253731,2,15,TRUE
22,2,81,3,2342,603,0,0,0,2,25,TRUE
21,0,14,4,434,51,0,0,0.142857143,2,14,TRUE
11,0,15,13,190,41,0,0,0.266666667,1,10,TRUE
58,0,137,90,1336,282,1,1,0.124087591,14,25,TRUE
9,0,45,29,498,166,0,0,0.355555556,2,36,TRUE
11,0,63,33,821,207,4,2,0.238095238,3,39,TRUE
2,0,3,2,38,8,0,1,0,1,6,TRUE
24,0,52,30,494,97,0,1,0,4,24,TRUE
18,0,50,45,286,70,0,1,0.5,1,15,TRUE
4,0,32,27,423,107,0,1,0.71875,1,19,TRUE
19,0,63,42,802,206,0,1,0.285714286,2,40,TRUE
94,1,245,196,2327,657,0,1,0.240816327,4,55,TRUE
7,0,29,28,158,45,0,1,0.068965517,1,17,TRUE
4,0,21,18,325,68,0,0,0.238095238,10,11,TRUE
6,0,19,18,115,30,0,2,0.157894737,4,5,TRUE
26,0,57,28,733,140,0,1,0.070175439,3,18,TRUE
8,0,18,1,253,61,0,0,0,2,7,TRUE
4,0,8,8,123,28,0,1,0,1,8,TRUE
4,0,2,1,54,4,0,0,0,1,5,TRUE
24,0,63,57,372,98,0,1,0.158730159,1,16,TRUE
2,0,6,5,23,6,0,0,0,3,1,TRUE
35,1,101,91,1163,331,0,1,0.237623762,4,95,TRUE
15,0,105,102,422,122,0,2,0.695238095,1,33,TRUE
6,0,121,119,379,125,0,2,0.644628099,1,20,TRUE
2,0,44,44,128,46,0,1,0.840909091,1,8,TRUE
10,1,17,17,207,42,0,0,0.235294118,5,15,TRUE
22,0,80,56,1125,239,0,2,0.3,3,62,TRUE
6,0,28,21,272,64,0,1,0.607142857,1,8,TRUE
1,0,2,1,105,24,0,1,0,2,3,TRUE
2,0,6,3,30,8,0,1,0.666666667,1,4,TRUE
2,0,8,7,55,12,0,1,0.75,3,9,TRUE
4,0,10,10,200,34,0,1,0,1,7,TRUE
18,2,17,15,294,55,0,0,0,2,13,TRUE
1,0,2,2,32,9,0,1,0,2,5,TRUE
10,0,7,6,96,19,0,1,0.285714286,1,12,TRUE
31,5,32,18,443,100,0,1,0.1875,5,29,TRUE
3,0,11,11,75,15,0,0,0,1,2,TRUE
11,0,17,13,157,37,0,0,0.117647059,2,3,TRUE
4,0,6,0,32,7,0,0,0,4,4,TRUE
16,1,39,11,459,88,0,1,0.205128205,2,24,TRUE
10,0,14,8,167,30,0,1,0.214285714,2,10,TRUE
44,2,87,77,627,181,0,1,0.287356322,8,38,TRUE
54,0,70,36,961,208,0,1,0.071428571,2,11,TRUE
1,0,2,2,37,5,0,1,0,1,6,TRUE
18,0,25,13,435,70,0,1,0.24,0,12,TRUE
13,0,26,13,406,71,0,1,0.269230769,1,10,TRUE
112,21,195,102,2308,520,0,1,0.174358974,11,93,TRUE
10,0,33,9,574,109,0,0,0,2,12,TRUE
7,0,17,11,234,40,0,1,0.117647059,1,11,TRUE
62,3,90,32,1210,274,0,1,0.077777778,5,41,TRUE
7,1,20,18,271,59,1,1,0.1,7,6,TRUE
3,0,4,4,71,11,0,0,0.5,1,11,TRUE
10,1,35,32,326,103,0,3,0.4,0,36,TRUE
19,3,72,59,1088,267,0,3,0.375,0,65,TRUE
9,4,60,55,675,170,0,0,0.233333333,12,51,TRUE
17,1,40,35,539,112,0,1,0.225,4,72,TRUE
7,0,8,8,74,18,0,1,0,1,12,TRUE
8,0,8,8,76,18,0,1,0,1,12,TRUE
26,0,33,27,475,112,0,1,0.181818182,2,42,TRUE
4,0,69,68,609,146,0,3,0.362318841,1,65,TRUE
24,2,68,39,1287,292,0,0,0.073529412,41,30,TRUE
14,0,17,14,346,77,0,3,0,2,8,TRUE
7,0,23,15,236,56,0,0,0.086956522,4,11,TRUE
7,0,36,26,432,82,0,1,0.055555556,2,35,TRUE
4,0,14,12,310,64,0,0,0.571428571,6,40,TRUE
7,0,17,15,333,76,0,3,0.235294118,0,25,TRUE
5,0,12,12,127,34,0,3,0.166666667,0,25,TRUE
4,0,30,23,410,91,0,0,0.3,10,43,TRUE
7,0,7,5,172,30,0,1,0.428571429,1,5,TRUE
40,0,38,29,843,155,0,1,0.131578947,4,36,TRUE
1,0,3,2,32,7,0,2,0,1,5,TRUE
3,0,7,7,50,11,0,1,0.285714286,1,12,TRUE
1,0,7,7,55,12,0,2,0.285714286,1,6,TRUE
1,0,7,7,51,11,0,2,0.285714286,12,5,TRUE
