LOC,CC,PC,Is_Long_Method
123,10,2,TRUE
148,14,3,TRUE
168,42,1,TRUE
101,14,1,TRUE
149,1,0,TRUE
107,14,3,TRUE
106,26,5,TRUE
116,27,5,TRUE
114,19,1,TRUE
100,18,0,TRUE
131,24,4,TRUE
134,19,0,TRUE
150,32,0,TRUE
125,26,1,TRUE
106,19,0,TRUE
102,19,0,TRUE
106,27,4,TRUE
102,22,0,TRUE
122,21,0,TRUE
111,26,2,TRUE
122,19,0,TRUE
123,19,0,TRUE
115,18,0,TRUE
116,18,2,TRUE
123,22,0,TRUE
144,20,2,TRUE
127,17,3,TRUE
147,23,0,TRUE
131,23,1,TRUE
109,17,0,TRUE
108,17,0,TRUE
115,20,0,TRUE
103,11,0,TRUE
105,16,3,TRUE
101,1,0,TRUE
167,24,11,TRUE
160,24,0,TRUE
108,20,4,TRUE
108,20,5,TRUE
178,41,4,TRUE
105,25,0,TRUE
155,18,0,TRUE
104,8,0,TRUE
116,14,0,TRUE
107,12,0,TRUE
130,20,4,TRUE
149,21,4,TRUE
124,15,4,TRUE
152,17,5,TRUE
171,34,1,TRUE
120,14,0,TRUE
101,2,1,TRUE
114,27,7,TRUE
117,7,3,TRUE
202,54,1,TRUE
101,13,0,TRUE
143,7,1,TRUE
124,73,1,TRUE
117,14,0,TRUE
187,54,0,TRUE
106,42,0,TRUE
155,35,0,TRUE
162,22,2,TRUE
119,32,1,TRUE
190,51,2,TRUE
268,80,2,TRUE
104,45,0,TRUE
102,30,0,TRUE
106,34,4,TRUE
212,82,0,TRUE
140,40,2,TRUE
103,27,0,TRUE
161,28,0,TRUE
112,22,1,TRUE
109,10,3,TRUE
129,10,4,TRUE
121,10,4,TRUE
137,45,2,TRUE
194,43,6,TRUE
368,54,10,TRUE
185,43,3,TRUE
273,77,3,TRUE
291,84,3,TRUE
258,51,11,TRUE
128,34,2,TRUE
156,38,1,TRUE
106,24,5,TRUE
116,65,1,TRUE
119,14,3,TRUE
113,23,4,TRUE
183,72,3,TRUE
179,58,3,TRUE
114,12,5,TRUE
107,9,15,TRUE
259,51,11,TRUE
333,26,12,TRUE
223,41,2,TRUE
116,6,6,TRUE
100,21,2,TRUE
117,25,4,TRUE
127,9,10,TRUE
577,33,24,TRUE
592,37,29,TRUE
493,39,26,TRUE
165,36,12,TRUE
127,46,6,TRUE
140,37,0,TRUE
224,39,12,TRUE
119,26,1,TRUE
138,14,1,TRUE
135,35,1,TRUE
131,27,1,TRUE
146,26,2,TRUE
152,21,3,TRUE
107,16,1,TRUE
186,45,1,TRUE
169,48,6,TRUE
146,46,8,TRUE
267,73,1,TRUE
345,46,5,TRUE
171,31,8,TRUE
109,24,7,TRUE
102,25,2,TRUE
259,52,2,TRUE
117,28,3,TRUE
192,42,2,TRUE
117,28,2,TRUE
131,23,0,TRUE
112,28,3,TRUE
131,31,2,TRUE
131,28,2,TRUE
126,1,0,TRUE
298,73,5,TRUE
475,178,5,TRUE
124,1,0,TRUE
116,10,3,TRUE
111,23,1,TRUE
111,24,2,TRUE
145,2,0,TRUE
280,2,0,TRUE
115,25,2,TRUE
101,22,1,TRUE
179,36,2,TRUE
175,58,1,TRUE
120,40,1,TRUE
156,45,3,TRUE
183,48,1,TRUE
103,12,3,TRUE
127,17,2,TRUE
113,37,3,TRUE
171,29,3,TRUE
132,27,3,TRUE
131,10,0,TRUE
347,117,0,TRUE
155,33,1,TRUE
415,91,1,TRUE
176,119,1,TRUE
597,137,0,TRUE
109,52,0,TRUE
106,66,0,TRUE
180,78,0,TRUE
212,77,0,TRUE
685,157,0,TRUE
103,66,0,TRUE
110,88,0,TRUE
493,290,0,TRUE
189,40,0,TRUE
146,35,0,TRUE
157,31,0,TRUE
257,175,0,TRUE
245,162,0,TRUE
146,76,0,TRUE
180,117,0,TRUE
190,100,0,TRUE
130,56,0,TRUE
100,31,0,TRUE
168,80,0,TRUE
101,15,0,TRUE
357,173,0,TRUE
149,85,0,TRUE
190,37,0,TRUE
121,26,1,TRUE
886,286,0,TRUE
131,59,1,TRUE
235,82,0,TRUE
114,17,2,TRUE
195,31,2,TRUE
118,27,1,TRUE
102,1,0,TRUE
357,88,2,TRUE
159,40,1,TRUE
124,33,5,TRUE
134,33,3,TRUE
105,25,1,TRUE
160,40,3,TRUE
125,45,1,TRUE
132,37,2,TRUE
101,30,2,TRUE
160,33,2,TRUE
129,31,4,TRUE
185,67,3,TRUE
117,56,1,TRUE
151,1,0,TRUE
119,26,4,TRUE
145,40,1,TRUE
107,27,1,TRUE
251,77,1,TRUE
104,32,0,TRUE
138,29,2,TRUE
106,18,1,TRUE
172,34,0,TRUE
140,30,5,TRUE
120,28,1,TRUE
120,32,1,TRUE
163,36,1,TRUE
284,42,1,TRUE
100,25,1,TRUE
144,31,1,TRUE
139,32,1,TRUE
108,36,1,TRUE
117,27,1,TRUE
117,31,1,TRUE
285,42,1,TRUE
101,28,2,TRUE
171,84,1,TRUE
106,18,0,TRUE
223,60,1,TRUE
275,72,1,TRUE
112,24,4,TRUE
229,91,1,TRUE
118,27,3,TRUE
330,91,4,TRUE
226,43,3,TRUE
130,32,1,TRUE
117,20,2,TRUE
277,71,0,TRUE
301,61,1,TRUE
103,18,0,TRUE
469,139,1,TRUE
586,171,0,TRUE
149,33,1,TRUE
568,139,5,TRUE
102,20,7,TRUE
186,40,3,TRUE
116,43,7,TRUE
175,41,5,TRUE
156,41,15,TRUE
102,16,8,TRUE
234,65,18,TRUE
204,41,7,TRUE
219,71,3,TRUE
130,38,6,TRUE
236,67,3,TRUE
106,22,3,TRUE
135,35,3,TRUE
133,31,3,TRUE
134,29,3,TRUE
147,46,1,TRUE
159,32,0,TRUE
189,28,0,TRUE
120,25,2,TRUE
610,124,1,TRUE
566,121,1,TRUE
414,96,2,TRUE
399,94,4,TRUE
596,117,5,TRUE
559,118,4,TRUE
113,21,3,TRUE
128,26,1,TRUE
134,28,3,TRUE
156,48,1,TRUE
100,30,3,TRUE
372,112,3,TRUE
106,26,3,TRUE
103,26,0,TRUE
155,37,1,TRUE
122,17,3,TRUE
192,32,3,TRUE
148,39,5,TRUE
120,34,1,TRUE
140,58,3,TRUE
213,61,4,TRUE
104,33,1,TRUE
100,24,3,TRUE
154,32,2,TRUE
120,25,1,TRUE
116,30,1,TRUE
128,35,1,TRUE
164,52,2,TRUE
161,49,1,TRUE
123,47,0,TRUE
134,36,2,TRUE
198,53,1,TRUE
106,27,5,TRUE
110,26,2,TRUE
112,20,3,TRUE
226,45,2,TRUE
148,42,0,TRUE
233,65,3,TRUE
704,152,1,TRUE
154,45,6,TRUE
130,60,1,TRUE
191,46,3,TRUE
109,33,1,TRUE
107,42,1,TRUE
104,23,1,TRUE
117,41,2,TRUE
103,34,2,TRUE
143,35,1,TRUE
108,25,1,TRUE
101,36,5,TRUE
140,43,2,TRUE
113,30,1,TRUE
151,35,1,TRUE
118,55,1,TRUE
352,157,1,TRUE
110,54,1,TRUE
130,57,4,TRUE
150,64,4,TRUE
176,78,4,TRUE
143,41,2,TRUE
181,68,0,TRUE
109,33,0,TRUE
113,31,1,TRUE
127,44,2,TRUE
124,78,0,TRUE
113,40,4,TRUE
180,57,4,TRUE
170,55,4,TRUE
167,54,3,TRUE
180,70,2,TRUE
233,72,2,TRUE
154,55,5,TRUE
138,43,0,TRUE
108,53,1,TRUE
109,32,1,TRUE
144,46,4,TRUE
198,54,0,TRUE
178,45,0,TRUE
114,39,0,TRUE
198,59,1,TRUE
3220,1073,1,TRUE
122,36,0,TRUE
112,22,3,TRUE
136,31,2,TRUE
201,59,4,TRUE
156,35,4,TRUE
146,31,0,TRUE
222,73,1,TRUE
149,35,0,TRUE
142,12,0,TRUE
107,32,2,TRUE
583,173,0,TRUE
335,75,0,TRUE
273,124,3,TRUE
202,66,1,TRUE
212,104,1,TRUE
137,29,1,TRUE
158,30,3,TRUE
124,22,1,TRUE
130,23,4,TRUE
189,62,4,TRUE
143,43,5,TRUE
213,157,1,TRUE
258,71,1,TRUE
136,23,0,TRUE
146,27,1,TRUE
200,56,3,TRUE
192,48,4,TRUE
109,18,4,TRUE
142,31,3,TRUE
101,14,0,TRUE
121,22,1,TRUE
101,25,3,TRUE
153,34,1,TRUE
101,20,1,TRUE
107,26,4,TRUE
115,31,2,TRUE
126,32,9,TRUE
104,18,0,TRUE
183,63,0,TRUE
113,16,2,TRUE
175,40,1,TRUE
136,56,3,TRUE
121,35,3,TRUE
180,41,1,TRUE
117,22,4,TRUE
101,16,1,TRUE
160,27,3,TRUE
103,18,3,TRUE
109,18,3,TRUE
116,23,2,TRUE
213,43,9,TRUE
195,38,8,TRUE
121,36,1,TRUE
130,26,0,TRUE
147,48,1,TRUE
105,22,1,TRUE
128,37,5,TRUE
165,47,4,TRUE
112,42,5,TRUE
138,49,0,TRUE
205,42,2,TRUE
992,229,1,TRUE
168,41,7,TRUE
203,51,3,TRUE
160,27,5,TRUE
116,30,5,TRUE
102,17,3,TRUE
106,23,3,TRUE
133,34,1,TRUE
103,25,2,TRUE
104,24,4,TRUE
121,27,7,TRUE
125,22,4,TRUE
248,49,1,TRUE
167,33,2,TRUE
103,22,2,TRUE
106,25,2,TRUE
108,25,2,TRUE
135,30,2,TRUE
268,4,0,TRUE
1386,255,1,TRUE
255,1,0,TRUE
131,26,2,TRUE
124,30,0,TRUE
117,28,0,TRUE
128,21,4,TRUE
106,19,2,TRUE
206,49,2,TRUE
232,65,1,TRUE
142,38,0,TRUE
101,34,1,TRUE
189,48,2,TRUE
154,38,2,TRUE
100,20,2,TRUE
102,28,0,TRUE
184,29,1,TRUE
124,26,5,TRUE
105,28,4,TRUE
173,26,2,TRUE
184,39,2,TRUE
112,22,2,TRUE
135,25,2,TRUE
128,25,1,TRUE
109,15,4,TRUE
110,23,3,TRUE
106,34,2,TRUE
132,31,0,TRUE
103,32,3,TRUE
123,20,2,TRUE
103,2,0,TRUE
102,10,0,TRUE
134,29,2,TRUE
104,59,0,TRUE
277,147,2,TRUE
153,19,0,TRUE
160,35,2,TRUE
127,23,1,TRUE
151,20,2,TRUE
124,13,4,TRUE
170,32,2,TRUE
151,31,0,TRUE
126,22,0,TRUE
207,34,2,TRUE
118,11,0,TRUE
162,35,1,TRUE
139,32,2,TRUE
114,18,0,TRUE
414,74,0,TRUE
128,27,1,TRUE
255,61,2,TRUE
110,12,2,TRUE
107,14,1,TRUE
116,22,2,TRUE
113,24,0,TRUE
105,16,0,TRUE
110,16,3,TRUE
148,18,1,TRUE
171,25,3,TRUE
172,21,6,TRUE
308,49,1,TRUE
163,32,13,TRUE
402,63,11,TRUE
266,48,0,TRUE
202,41,1,TRUE
239,40,0,TRUE
152,28,0,TRUE
146,28,3,TRUE
103,18,8,TRUE
268,48,3,TRUE
117,13,0,TRUE
106,11,0,TRUE
101,11,1,TRUE
111,18,5,TRUE
117,16,4,TRUE
133,21,2,TRUE
115,20,7,TRUE
215,31,2,TRUE
139,3,2,TRUE
125,21,0,TRUE
110,18,0,TRUE
189,34,4,TRUE
104,22,6,TRUE
102,17,1,TRUE
101,24,3,TRUE
111,11,2,TRUE
132,24,1,TRUE
398,45,0,TRUE
142,20,0,TRUE
102,24,0,TRUE
257,31,0,TRUE
244,33,0,TRUE
177,30,1,TRUE
141,18,2,TRUE
188,33,1,TRUE
229,40,1,TRUE
111,8,6,TRUE
175,20,6,TRUE
244,40,0,TRUE
305,57,4,TRUE
154,37,6,TRUE
144,34,6,TRUE
120,32,0,TRUE
304,70,6,TRUE
