LOC,CC,PC,Is_Long_Parameter_List
74,15,5,TRUE
6,2,5,TRUE
18,4,5,TRUE
33,8,5,TRUE
4,1,5,TRUE
32,8,6,TRUE
3,1,5,TRUE
36,7,5,TRUE
9,3,6,TRUE
38,6,5,TRUE
27,1,5,TRUE
2,1,5,TRUE
106,26,5,TRUE
116,27,5,TRUE
49,9,5,TRUE
9,3,5,TRUE
11,3,5,TRUE
6,1,5,TRUE
11,2,5,TRUE
30,7,5,TRUE
7,2,5,TRUE
10,3,5,TRUE
87,18,8,TRUE
8,1,6,TRUE
16,5,6,TRUE
34,7,6,TRUE
12,2,5,TRUE
10,3,7,TRUE
30,4,7,TRUE
29,6,5,TRUE
70,12,6,TRUE
9,1,7,TRUE
24,6,5,TRUE
37,4,6,TRUE
34,7,5,TRUE
29,6,6,TRUE
15,3,5,TRUE
28,4,7,TRUE
3,1,6,TRUE
25,4,7,TRUE
7,1,5,TRUE
0,1,5,TRUE
0,1,8,TRUE
9,1,5,TRUE
3,1,8,TRUE
8,1,5,TRUE
3,1,7,TRUE
10,1,8,TRUE
8,1,8,TRUE
7,1,6,TRUE
8,2,5,TRUE
0,1,6,TRUE
35,5,6,TRUE
45,6,6,TRUE
17,5,5,TRUE
70,13,5,TRUE
21,5,5,TRUE
3,1,9,TRUE
3,1,10,TRUE
3,1,11,TRUE
31,6,5,TRUE
11,1,6,TRUE
15,1,5,TRUE
44,8,5,TRUE
167,24,11,TRUE
21,3,5,TRUE
30,9,7,TRUE
108,20,5,TRUE
12,4,5,TRUE
12,3,5,TRUE
5,3,6,TRUE
152,17,5,TRUE
19,3,5,TRUE
21,4,7,TRUE
17,2,5,TRUE
13,4,5,TRUE
78,18,6,TRUE
67,17,5,TRUE
15,5,5,TRUE
24,7,5,TRUE
5,1,5,TRUE
23,4,6,TRUE
20,6,5,TRUE
114,27,7,TRUE
7,1,7,TRUE
9,1,11,TRUE
23,6,5,TRUE
5,1,9,TRUE
18,5,9,TRUE
14,2,6,TRUE
62,8,8,TRUE
73,8,10,TRUE
8,1,7,TRUE
70,6,5,TRUE
5,1,6,TRUE
8,2,7,TRUE
4,2,7,TRUE
0,1,7,TRUE
14,1,5,TRUE
40,14,8,TRUE
16,3,5,TRUE
14,2,7,TRUE
16,1,6,TRUE
34,2,7,TRUE
35,2,7,TRUE
4,1,7,TRUE
11,1,9,TRUE
51,2,5,TRUE
47,2,5,TRUE
43,4,5,TRUE
17,1,5,TRUE
31,2,14,TRUE
47,3,5,TRUE
13,3,5,TRUE
12,1,5,TRUE
25,3,10,TRUE
35,12,5,TRUE
17,7,7,TRUE
20,5,5,TRUE
58,17,7,TRUE
58,3,5,TRUE
65,26,8,TRUE
11,1,5,TRUE
69,4,5,TRUE
46,3,5,TRUE
13,1,8,TRUE
86,16,6,TRUE
14,6,7,TRUE
36,3,6,TRUE
24,5,7,TRUE
43,3,6,TRUE
25,5,8,TRUE
33,3,7,TRUE
7,2,7,TRUE
4,2,6,TRUE
13,5,7,TRUE
32,3,6,TRUE
38,4,6,TRUE
26,5,8,TRUE
8,3,5,TRUE
10,3,9,TRUE
4,5,5,TRUE
16,4,8,TRUE
39,11,8,TRUE
29,11,5,TRUE
18,1,16,TRUE
34,13,6,TRUE
84,13,7,TRUE
10,1,7,TRUE
194,43,6,TRUE
368,54,10,TRUE
40,9,6,TRUE
17,7,6,TRUE
31,5,5,TRUE
36,4,7,TRUE
29,1,5,TRUE
35,1,7,TRUE
5,1,7,TRUE
13,2,7,TRUE
29,4,6,TRUE
30,1,5,TRUE
68,21,5,TRUE
65,22,5,TRUE
22,4,8,TRUE
28,6,8,TRUE
6,1,7,TRUE
3,3,6,TRUE
3,3,7,TRUE
42,10,10,TRUE
258,51,11,TRUE
106,24,5,TRUE
34,6,6,TRUE
24,4,6,TRUE
11,5,8,TRUE
6,3,8,TRUE
6,3,6,TRUE
45,6,8,TRUE
26,6,8,TRUE
22,6,6,TRUE
14,4,5,TRUE
48,8,6,TRUE
27,7,6,TRUE
17,3,18,TRUE
61,9,7,TRUE
41,8,7,TRUE
35,10,5,TRUE
9,1,12,TRUE
34,7,7,TRUE
23,6,7,TRUE
19,5,5,TRUE
12,1,15,TRUE
29,7,7,TRUE
35,6,7,TRUE
35,6,5,TRUE
43,8,6,TRUE
37,7,6,TRUE
6,1,9,TRUE
12,2,7,TRUE
41,11,8,TRUE
20,3,8,TRUE
41,11,10,TRUE
20,3,10,TRUE
16,1,8,TRUE
47,8,6,TRUE
38,6,6,TRUE
27,4,6,TRUE
17,5,8,TRUE
11,3,8,TRUE
11,3,6,TRUE
46,7,9,TRUE
0,1,10,TRUE
12,2,6,TRUE
7,2,6,TRUE
31,1,9,TRUE
18,3,7,TRUE
17,3,6,TRUE
20,1,10,TRUE
13,1,6,TRUE
40,1,12,TRUE
38,3,6,TRUE
4,1,8,TRUE
10,2,6,TRUE
22,5,5,TRUE
23,5,6,TRUE
14,3,6,TRUE
70,23,5,TRUE
31,9,5,TRUE
14,1,6,TRUE
17,2,6,TRUE
29,5,5,TRUE
114,12,5,TRUE
29,1,6,TRUE
34,5,7,TRUE
11,7,5,TRUE
16,8,6,TRUE
97,19,6,TRUE
86,9,8,TRUE
42,12,5,TRUE
56,19,5,TRUE
107,9,15,TRUE
259,51,11,TRUE
333,26,12,TRUE
45,10,6,TRUE
4,1,6,TRUE
38,5,6,TRUE
116,6,6,TRUE
54,7,8,TRUE
50,18,6,TRUE
58,17,9,TRUE
10,4,5,TRUE
127,9,10,TRUE
64,12,5,TRUE
577,33,24,TRUE
59,12,5,TRUE
592,37,29,TRUE
42,9,6,TRUE
493,39,26,TRUE
29,2,7,TRUE
84,21,15,TRUE
12,1,8,TRUE
21,4,6,TRUE
22,7,9,TRUE
14,2,10,TRUE
165,36,12,TRUE
84,16,13,TRUE
50,12,7,TRUE
27,6,5,TRUE
127,46,6,TRUE
51,10,5,TRUE
224,39,12,TRUE
59,12,14,TRUE
79,24,11,TRUE
98,18,11,TRUE
51,12,8,TRUE
26,5,9,TRUE
35,8,5,TRUE
16,1,7,TRUE
16,4,5,TRUE
15,1,7,TRUE
17,4,5,TRUE
48,16,6,TRUE
10,2,5,TRUE
11,1,8,TRUE
9,2,5,TRUE
17,3,5,TRUE
52,8,7,TRUE
75,14,7,TRUE
22,7,5,TRUE
19,9,7,TRUE
27,5,5,TRUE
11,2,6,TRUE
87,22,6,TRUE
169,48,6,TRUE
57,16,5,TRUE
146,46,8,TRUE
31,10,5,TRUE
45,5,5,TRUE
65,12,7,TRUE
345,46,5,TRUE
10,1,6,TRUE
171,31,8,TRUE
109,24,7,TRUE
25,4,5,TRUE
20,8,5,TRUE
90,23,7,TRUE
29,7,9,TRUE
30,8,6,TRUE
70,19,7,TRUE
45,10,5,TRUE
25,7,6,TRUE
42,10,7,TRUE
298,73,5,TRUE
19,4,5,TRUE
475,178,5,TRUE
39,13,5,TRUE
82,18,6,TRUE
32,8,5,TRUE
38,12,5,TRUE
68,14,5,TRUE
18,2,7,TRUE
18,2,5,TRUE
12,1,6,TRUE
6,1,6,TRUE
50,9,5,TRUE
81,12,5,TRUE
71,7,6,TRUE
33,6,5,TRUE
36,7,7,TRUE
19,1,6,TRUE
88,29,5,TRUE
0,1,11,TRUE
30,5,7,TRUE
46,9,11,TRUE
40,13,10,TRUE
60,14,6,TRUE
78,22,7,TRUE
26,5,6,TRUE
24,4,5,TRUE
11,3,11,TRUE
20,6,11,TRUE
69,16,10,TRUE
58,19,7,TRUE
25,5,10,TRUE
65,13,5,TRUE
10,1,5,TRUE
8,2,6,TRUE
19,4,6,TRUE
13,3,6,TRUE
30,5,6,TRUE
43,8,5,TRUE
75,12,7,TRUE
67,11,6,TRUE
14,2,5,TRUE
45,9,7,TRUE
33,6,6,TRUE
53,10,5,TRUE
54,10,5,TRUE
89,16,7,TRUE
77,14,6,TRUE
16,6,5,TRUE
19,4,7,TRUE
30,2,9,TRUE
39,2,5,TRUE
45,9,5,TRUE
46,12,7,TRUE
38,8,7,TRUE
29,3,15,TRUE
4,2,5,TRUE
57,9,6,TRUE
15,4,5,TRUE
124,33,5,TRUE
14,5,5,TRUE
6,2,8,TRUE
14,2,8,TRUE
40,12,6,TRUE
33,11,5,TRUE
45,6,11,TRUE
21,4,5,TRUE
44,7,5,TRUE
17,4,6,TRUE
20,7,5,TRUE
26,6,5,TRUE
25,6,5,TRUE
23,4,10,TRUE
26,9,6,TRUE
18,3,5,TRUE
2,1,10,TRUE
2,1,7,TRUE
2,1,13,TRUE
2,1,6,TRUE
41,9,6,TRUE
0,1,9,TRUE
0,1,13,TRUE
0,1,12,TRUE
13,6,6,TRUE
7,5,5,TRUE
7,3,6,TRUE
6,3,5,TRUE
140,30,5,TRUE
37,8,6,TRUE
78,37,5,TRUE
29,7,5,TRUE
61,22,6,TRUE
12,9,5,TRUE
41,18,5,TRUE
48,14,7,TRUE
3,4,5,TRUE
21,2,7,TRUE
22,2,8,TRUE
48,7,5,TRUE
22,2,9,TRUE
28,8,6,TRUE
30,6,9,TRUE
58,6,7,TRUE
92,10,7,TRUE
66,14,6,TRUE
38,7,6,TRUE
9,1,6,TRUE
14,3,5,TRUE
32,5,6,TRUE
28,5,5,TRUE
4,1,10,TRUE
4,1,9,TRUE
15,3,6,TRUE
16,6,7,TRUE
9,2,6,TRUE
22,5,6,TRUE
5,2,6,TRUE
23,7,5,TRUE
33,8,9,TRUE
31,12,5,TRUE
61,17,8,TRUE
568,139,5,TRUE
102,20,7,TRUE
25,3,6,TRUE
116,43,7,TRUE
175,41,5,TRUE
156,41,15,TRUE
50,18,14,TRUE
96,19,11,TRUE
35,8,7,TRUE
53,14,5,TRUE
102,16,8,TRUE
78,35,10,TRUE
57,22,11,TRUE
19,8,8,TRUE
28,11,19,TRUE
22,6,5,TRUE
234,65,18,TRUE
204,41,7,TRUE
78,19,6,TRUE
88,25,6,TRUE
53,11,5,TRUE
64,17,18,TRUE
59,23,5,TRUE
